Tic_Rais_date_time,Ticket_ID,LHO,Site_Class,Criticality,Terminal_ID,State,Address,Location_Type,Call_Mode,Queue_Type,Call_Type,Category,Sub_Category,CD_Make,Created_Date,Created_Time,Ageing,Numerical_Tic_Rais_date_time
21/09/2021 12:52,2471168.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Direct,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,NCR,21/09/2021,12:52:09,24H:2M,44460.53622
22/03/2021 12:29,1699590.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Direct,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,NCR,22/03/2021,12:29:46,6H:25M,44277.52067
22/11/2021 10:53,2602163.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Direct,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,NCR,22/11/2021,10:53:57,3H:9M,44522.45413
23/02/2021 04:01,1524075.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,Card Reader Error,ATM Hardware,Card Reader Problem,NCR,23/02/2021,4:01:04,5H:22M,44250.16741
23/02/2021 09:21,1524285.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,23/02/2021,9:21:06,0H:34M,44250.38965
23/02/2021 14:37,1525643.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,23/02/2021,14:37:06,3H:46M,44250.6091
23/02/2021 20:03,1526916.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,23/02/2021,20:03:34,3H:16M,44250.83581
23/07/2021 07:51,2308556.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Direct,Monitoring,ATM Down,ATM Down,Actionable query,NCR,23/07/2021,7:51:59,5H:4M,44400.32777
23/10/2021 08:25,2547420.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Email,SLM,ATM Down,ATM Hardware,EPP Faulty,NCR,23/10/2021,8:25:09,14D:6H,44492.3508
24/02/2021 16:41,1530166.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,24/02/2021,16:41:35,0H:40M,44251.69554
24/02/2021 23:19,1531610.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,24/02/2021,23:19:43,1H:12M,44251.97203
24/03/2021 23:14,1715762.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,24/03/2021,23:14:36,6H:0M,44279.96847
25/02/2021 13:33,1532907.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Direct,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,NCR,25/02/2021,13:33:48,4H:6M,44252.56514
25/03/2021 20:13,1720208.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,25/03/2021,20:13:29,0H:52M,44280.8427
26/02/2021 07:53,1539899.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Direct,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,NCR,26/02/2021,7:53:31,13H:3M,44253.32883
26/02/2021 11:11,1540401.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,26/02/2021,11:11:22,3H:28M,44253.46623
27/01/2021 14:20,1333709.0,Trivandrum,Platinum,M1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Cash Feed,Monitoring,No Transaction,ATM Hardware,Dispenser Problem,NCR,27/01/2021,14:20:08,1D:21H,44223.59731
27/02/2021 14:35,1552166.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,27/02/2021,14:35:16,1D:7H,44254.60782
27/09/2021 10:41,2482969.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Direct,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,NCR,27/09/2021,10:41:52,4H:25M,44466.44574
28/03/2021 11:51,1734654.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,28/03/2021,11:51:13,0H:42M,44283.4939
28/03/2021 16:21,1735399.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,28/03/2021,16:21:09,0H:55M,44283.68135
29/01/2021 17:43,1348184.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,Cash Out,Cash Related,Cash out,NCR,29/01/2021,17:43:01,23H:49M,44225.73821
29/03/2021 17:01,1738231.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,29/03/2021,17:01:05,1H:2M,44284.70909
29/08/2021 14:31,2404525.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Direct,Monitoring,ATM Down,ATM Down,Actionable query,NCR,29/08/2021,14:31:34,1D:1H,44437.60525
30/03/2021 14:03,1741916.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,30/03/2021,14:03:55,0H:50M,44285.58605
30/03/2021 17:39,1743222.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,30/03/2021,17:39:03,0H:28M,44285.73545
30/03/2021 21:01,1743831.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,30/03/2021,21:01:14,0H:42M,44285.87586
30/03/2021 22:31,1744018.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,30/03/2021,22:31:09,0H:30M,44285.9383
30/06/2021 08:35,2232820.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Direct,Monitoring,ATM Down,ATM Down,Actionable query,NCR,30/06/2021,8:35:39,7H:25M,44377.35809
30/07/2021 07:29,2326937.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Direct,Monitoring,ATM Down,ATM Down,Actionable query,NCR,30/07/2021,7:29:38,1H:7M,44407.31225
31/03/2021 00:21,1744549.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,31/03/2021,0:21:07,0H:20M,44286.01466
31/03/2021 12:51,1747203.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,31/03/2021,12:51:31,0H:44M,44286.53578
31/03/2021 21:41,1750688.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,31/03/2021,21:41:10,0H:30M,44286.90359
31/07/2021 07:46,2330023.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Direct,Monitoring,ATM Down,ATM Down,Actionable query,NCR,31/07/2021,7:46:04,2D:10H,44408.32366
31/08/2021 10:01,2408705.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Direct,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,NCR,31/08/2021,10:01:50,2H:3M,44439.41794
31/08/2021 16:15,2409955.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Direct,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,NCR,31/08/2021,16:15:36,18H:59M,44439.6775
31/08/2021 18:33,2410464.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,Card Reader Error,ATM Hardware,Card Reader Problem,NCR,31/08/2021,18:33:26,0H:22M,44439.77322
